ticker,issuer_cik,year,quarter,n_investors,completed_at
JPM,19617,2024,3,4167,2026-05-18T04:30:51.957241+00:00
JPM,19617,2024,4,4622,2026-05-18T04:30:52.848648+00:00
JPM,19617,2025,1,4622,2026-05-18T04:31:00.198467+00:00
JPM,19617,2025,2,4692,2026-05-18T04:31:01.952941+00:00
JPM,19617,2025,3,4678,2026-05-18T04:31:03.340820+00:00
JPM,19617,2025,4,4827,2026-05-18T04:31:07.995133+00:00
BAC,70858,2013,3,1137,2026-05-18T04:31:09.166896+00:00
BAC,70858,2013,4,1230,2026-05-18T04:31:16.358491+00:00
BAC,70858,2014,1,1258,2026-05-18T04:31:17.234208+00:00
BAC,70858,2014,2,1250,2026-05-18T04:31:21.468465+00:00
BAC,70858,2014,3,1252,2026-05-18T04:31:22.587923+00:00
BAC,70858,2014,4,1347,2026-05-18T04:31:26.831858+00:00
BAC,70858,2015,1,1345,2026-05-18T04:31:29.476953+00:00
BAC,70858,2015,2,1339,2026-05-18T04:31:30.711773+00:00
BAC,70858,2015,3,1360,2026-05-18T04:31:35.026208+00:00
BAC,70858,2015,4,1435,2026-05-18T04:31:35.907142+00:00
BAC,70858,2016,1,1429,2026-05-18T04:31:43.189674+00:00
BAC,70858,2016,2,1412,2026-05-18T04:31:44.009009+00:00
BAC,70858,2016,3,1430,2026-05-18T04:31:44.868950+00:00
BAC,70858,2016,4,1721,2026-05-18T04:31:52.122549+00:00
BAC,70858,2017,1,1754,2026-05-18T04:31:53.034434+00:00
BAC,70858,2017,2,1757,2026-05-18T04:31:53.837251+00:00
BAC,70858,2017,3,1774,2026-05-18T04:32:01.112140+00:00
BAC,70858,2017,4,1977,2026-05-18T04:32:01.959460+00:00
BAC,70858,2018,1,2021,2026-05-18T04:32:02.829525+00:00
BAC,70858,2018,2,1998,2026-05-18T04:32:10.041506+00:00
BAC,70858,2018,3,2010,2026-05-18T04:32:10.948909+00:00
BAC,70858,2018,4,2058,2026-05-18T04:32:11.790820+00:00
BAC,70858,2019,1,2098,2026-05-18T04:32:19.000529+00:00
BAC,70858,2019,2,2081,2026-05-18T04:32:19.871008+00:00
BAC,70858,2019,3,2079,2026-05-18T04:32:20.723484+00:00
BAC,70858,2019,4,2298,2026-05-18T04:32:27.929927+00:00
BAC,70858,2020,1,2080,2026-05-18T04:32:28.776991+00:00
BAC,70858,2020,2,2125,2026-05-18T04:32:29.627420+00:00
BAC,70858,2020,3,2082,2026-05-18T04:32:36.858212+00:00
BAC,70858,2020,4,2368,2026-05-18T04:32:37.741703+00:00
BAC,70858,2021,1,2461,2026-05-18T04:32:41.721448+00:00
BAC,70858,2021,2,2478,2026-05-18T04:32:42.901753+00:00
BAC,70858,2021,3,2482,2026-05-18T04:32:43.765886+00:00
BAC,70858,2021,4,2769,2026-05-18T04:32:51.037122+00:00
BAC,70858,2022,1,2775,2026-05-18T04:32:51.919553+00:00
BAC,70858,2022,2,2624,2026-05-18T04:32:52.801614+00:00
BAC,70858,2022,3,2583,2026-05-18T04:33:00.080972+00:00
BAC,70858,2022,4,2693,2026-05-18T04:33:01.049085+00:00
BAC,70858,2023,1,2639,2026-05-18T04:33:05.137312+00:00
BAC,70858,2023,2,2621,2026-05-18T04:33:06.240120+00:00
BAC,70858,2023,3,2599,2026-05-18T04:33:10.256565+00:00
BAC,70858,2023,4,2831,2026-05-18T04:33:12.624843+00:00
BAC,70858,2024,1,2898,2026-05-18T04:33:13.449437+00:00
BAC,70858,2024,2,2926,2026-05-18T04:33:20.650800+00:00
BAC,70858,2024,3,2956,2026-05-18T04:33:21.485447+00:00
BAC,70858,2024,4,3242,2026-05-18T04:33:25.457726+00:00
BAC,70858,2025,1,3178,2026-05-18T04:33:27.828936+00:00
BAC,70858,2025,2,3284,2026-05-18T04:33:28.888631+00:00
BAC,70858,2025,3,3316,2026-05-18T04:33:36.170467+00:00
BAC,70858,2025,4,3440,2026-05-18T04:33:37.553375+00:00
PFE,78003,2013,3,1588,2026-05-18T04:33:40.350657+00:00
PFE,78003,2013,4,1715,2026-05-18T04:33:41.516330+00:00
PFE,78003,2014,1,1763,2026-05-18T04:33:48.938866+00:00
PFE,78003,2014,2,1727,2026-05-18T04:33:50.130139+00:00
PFE,78003,2014,3,1728,2026-05-18T04:33:51.948109+00:00
PFE,78003,2014,4,1846,2026-05-18T04:33:53.071901+00:00
PFE,78003,2015,1,1864,2026-05-18T04:34:00.672339+00:00
PFE,78003,2015,2,1873,2026-05-18T04:34:01.562012+00:00
PFE,78003,2015,3,1864,2026-05-18T04:34:03.935767+00:00
PFE,78003,2015,4,1957,2026-05-18T04:34:05.096002+00:00
PFE,78003,2016,1,1953,2026-05-18T04:34:12.666132+00:00
PFE,78003,2016,2,1976,2026-05-18T04:34:13.920064+00:00
PFE,78003,2016,3,1954,2026-05-18T04:34:15.922776+00:00
PFE,78003,2016,4,2053,2026-05-18T04:34:17.180136+00:00
PFE,78003,2017,1,2067,2026-05-18T04:34:24.718437+00:00
PFE,78003,2017,2,2042,2026-05-18T04:34:26.030398+00:00
PFE,78003,2017,3,2031,2026-05-18T04:34:28.033183+00:00
PFE,78003,2017,4,2231,2026-05-18T04:34:30.914828+00:00
PFE,78003,2018,1,2219,2026-05-18T04:34:32.022433+00:00
PFE,78003,2018,2,2192,2026-05-18T04:34:39.657599+00:00
PFE,78003,2018,3,2243,2026-05-18T04:34:40.723199+00:00
PFE,78003,2018,4,2393,2026-05-18T04:34:42.805986+00:00
PFE,78003,2019,1,2380,2026-05-18T04:34:44.205993+00:00
PFE,78003,2019,2,2367,2026-05-18T04:34:51.727121+00:00
PFE,78003,2019,3,2316,2026-05-18T04:34:52.807881+00:00
PFE,78003,2019,4,2517,2026-05-18T04:34:55.422447+00:00
PFE,78003,2020,1,2430,2026-05-18T04:34:58.040250+00:00
PFE,78003,2020,2,2434,2026-05-18T04:34:59.097656+00:00
PFE,78003,2020,3,2504,2026-05-18T04:35:06.660100+00:00
PFE,78003,2020,4,2665,2026-05-18T04:35:07.745239+00:00
PFE,78003,2021,1,2662,2026-05-18T04:35:09.763503+00:00
PFE,78003,2021,2,2723,2026-05-18T04:35:10.981039+00:00
PFE,78003,2021,3,2791,2026-05-18T04:35:18.499189+00:00
PFE,78003,2021,4,3249,2026-05-18T04:35:19.668388+00:00
PFE,78003,2022,1,3181,2026-05-18T04:35:21.794020+00:00
PFE,78003,2022,2,3138,2026-05-18T04:35:23.068866+00:00
PFE,78003,2022,3,3068,2026-05-18T04:35:30.645971+00:00
PFE,78003,2022,4,3242,2026-05-18T04:35:32.112313+00:00
PFE,78003,2023,1,3087,2026-05-18T04:35:33.980538+00:00
PFE,78003,2023,2,3021,2026-05-18T04:35:36.803608+00:00
PFE,78003,2023,3,2909,2026-05-18T04:35:37.997309+00:00
PFE,78003,2023,4,2916,2026-05-18T04:35:45.601332+00:00
PFE,78003,2024,1,2857,2026-05-18T04:35:46.727740+00:00
PFE,78003,2024,2,2859,2026-05-18T04:35:49.641888+00:00
PFE,78003,2024,3,2885,2026-05-18T04:35:52.860118+00:00
PFE,78003,2024,4,2968,2026-05-18T04:35:55.228391+00:00
PFE,78003,2025,1,2902,2026-05-18T04:35:56.033394+00:00
PFE,78003,2025,2,2781,2026-05-18T04:36:03.236327+00:00
PFE,78003,2025,3,2775,2026-05-18T04:36:04.216380+00:00
PFE,78003,2025,4,2767,2026-05-18T04:36:05.455207+00:00
MRK,310158,2013,3,1413,2026-05-18T04:36:13.102849+00:00
MRK,310158,2013,4,1503,2026-05-18T04:36:14.011944+00:00
MRK,310158,2014,1,1545,2026-05-18T04:36:16.400651+00:00
MRK,310158,2014,2,1564,2026-05-18T04:36:19.240425+00:00
MRK,310158,2014,3,1564,2026-05-18T04:36:20.157912+00:00
MRK,310158,2014,4,1666,2026-05-18T04:36:27.469332+00:00
MRK,310158,2015,1,1660,2026-05-18T04:36:28.410377+00:00
MRK,310158,2015,2,1677,2026-05-18T04:36:29.335911+00:00
MRK,310158,2015,3,1626,2026-05-18T04:36:36.643243+00:00
MRK,310158,2015,4,1705,2026-05-18T04:36:37.686106+00:00
MRK,310158,2016,1,1693,2026-05-18T04:36:40.299812+00:00
MRK,310158,2016,2,1713,2026-05-18T04:36:41.091593+00:00
MRK,310158,2016,3,1767,2026-05-18T04:36:48.450255+00:00
MRK,310158,2016,4,1876,2026-05-18T04:36:49.299833+00:00
MRK,310158,2017,1,1895,2026-05-18T04:36:50.232434+00:00
MRK,310158,2017,2,1886,2026-05-18T04:36:57.708443+00:00
MRK,310158,2017,3,1882,2026-05-18T04:36:58.620256+00:00
MRK,310158,2017,4,1967,2026-05-18T04:37:01.018391+00:00
MRK,310158,2018,1,1955,2026-05-18T04:37:01.872311+00:00
MRK,310158,2018,2,1980,2026-05-18T04:37:09.074429+00:00
MRK,310158,2018,3,2015,2026-05-18T04:37:10.154774+00:00
MRK,310158,2018,4,2213,2026-05-18T04:37:11.003437+00:00
MRK,310158,2019,1,2255,2026-05-18T04:37:18.275191+00:00
MRK,310158,2019,2,2265,2026-05-18T04:37:19.222065+00:00
MRK,310158,2019,3,2274,2026-05-18T04:37:20.121099+00:00
MRK,310158,2019,4,2507,2026-05-18T04:37:27.382995+00:00
MRK,310158,2020,1,2446,2026-05-18T04:37:28.258625+00:00
MRK,310158,2020,2,2467,2026-05-18T04:37:29.071470+00:00
MRK,310158,2020,3,2531,2026-05-18T04:37:36.311987+00:00
MRK,310158,2020,4,2681,2026-05-18T04:37:37.201725+00:00
