year,quarter,firm_f,firm_g,kappa,contrib_Vanguard,contrib_BlackRock,contrib_State Street,contrib_Passive,contrib_Active,contrib_Hedge Fund,contrib_Other,time
2013,3,JPM,NOC,1.353987,0.197666,0.503329,0.391545,0.031536,0.178426,0.000819,0.050666,2013.625
2013,3,JPM,A,0.556779,0.101287,0.217159,0.07733,0.018673,0.129804,0.000488,0.012039,2013.625
2013,3,JPM,ABBV,1.044114,0.193732,0.330232,0.157494,0.033743,0.305173,9.2e-05,0.023649,2013.625
2013,3,JPM,ABT,0.855693,0.234906,0.308895,0.15467,0.035136,0.103475,0.000368,0.018244,2013.625
2013,3,JPM,ACN,0.894971,0.18739,0.257058,0.14003,0.031471,0.255213,0.004313,0.019496,2013.625
2013,3,JPM,ADBE,0.859616,0.174483,0.249594,0.134645,0.028915,0.251141,0.000439,0.020399,2013.625
2013,3,JPM,ADI,1.01572,0.188733,0.259685,0.155984,0.033494,0.357373,0.00138,0.01907,2013.625
2013,3,JPM,ADM,1.121094,0.205341,0.252406,0.279691,0.039725,0.267061,0.00172,0.07515,2013.625
2013,3,JPM,ADP,0.922309,0.218686,0.267295,0.163942,0.034549,0.218906,9.6e-05,0.018835,2013.625
2013,3,JPM,ADSK,1.173473,0.254313,0.349733,0.143136,0.032075,0.355725,0.001818,0.036673,2013.625
2013,3,JPM,AEE,0.867049,0.270278,0.26404,0.181146,0.033492,0.095532,0.00085,0.021712,2013.625
2013,3,JPM,AEP,0.962625,0.189984,0.376368,0.172974,0.032382,0.158648,0.000563,0.031706,2013.625
2013,3,JPM,AES,1.138779,0.227194,0.403432,0.145706,0.027605,0.30241,0.000419,0.032013,2013.625
2013,3,JPM,AFL,0.881832,0.218767,0.272667,0.173996,0.059345,0.138087,0.000375,0.018595,2013.625
2013,3,JPM,AIG,0.845906,0.17656,0.293808,0.150945,0.030779,0.16434,0.000378,0.029096,2013.625
2013,3,JPM,AIZ,1.073859,0.258688,0.285934,0.181535,0.046854,0.240775,0.002162,0.057911,2013.625
2013,3,JPM,AKAM,1.211252,0.242966,0.263502,0.149395,0.032572,0.496116,0.000498,0.026203,2013.625
2013,3,JPM,ALL,0.897025,0.183662,0.310341,0.15758,0.031582,0.163683,0.001139,0.049039,2013.625
2013,3,JPM,AMAT,0.944918,0.194407,0.312913,0.140824,0.030872,0.238112,0.000253,0.027536,2013.625
2013,3,JPM,AME,1.033471,0.251791,0.29172,0.141811,0.031923,0.29191,0.000112,0.024203,2013.625
2013,3,BAC,AAPL,0.932414,0.233781,0.270629,0.192584,0.038559,0.169061,0.004938,0.022863,2013.625
2013,3,BAC,MSFT,0.940068,0.210007,0.287979,0.180783,0.035301,0.203042,0.000488,0.022467,2013.625
2013,3,BAC,DAL,1.060699,0.321397,0.244912,0.161893,0.027143,0.277455,0.002016,0.025882,2013.625
2013,3,BAC,JPM,1.039129,0.231514,0.337734,0.202867,0.042679,0.189626,0.000991,0.033718,2013.625
2013,3,BAC,PFE,0.94797,0.221606,0.331437,0.186563,0.039885,0.142786,0.000337,0.025357,2013.625
2013,3,BAC,MRK,1.068404,0.227185,0.339865,0.198548,0.03838,0.240253,0.000296,0.023875,2013.625
2013,3,BAC,NVDA,1.238148,0.30048,0.264602,0.2102,0.037165,0.405218,0.001495,0.018988,2013.625
